Author,Year,Title,alpha_em,PSD_0.5,PSD_em,Feox_mmol[mmol/kg],Alox_mmol[mmol/kg],Feox_%[%],Alox_%[%],Fe+Alox[mmol/kg],Pox[mg/kg],Pox/Fe+Alox[%],Qmax[mg/kg],PSC[mmool/kg],Location,Climate1,Average,Median,,Climate2
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.55,77.3,70.2,,,,,,,155,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.53,75,70.2,,,,,,,150,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.52,72.4,70.2,,,,,,,145,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.49,71.1,72.1,,,,,,,142,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.36,57.8,81.1,,,,,,,116,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.44,67.5,76,,,,,,,135,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.51,75.5,74.1,,,,,,,151,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.71,96.8,68.3,,,,,,,194,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.71,101.7,71.2,,,,,,,203,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.64,93.7,73.2,,,,,,,187,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.54,80.4,73.9,,,,,,,161,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.53,80,76.1,,,,,,,160,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.49,77.3,78.2,,,,,,,155,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.51,81.3,80.4,,,,,,,163,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.53,82.6,77.8,,,,,,,165,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.57,85.7,75.1,,,,,,,171,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.55,87.1,79,,,,,,,174,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.6,93.3,77.3,,,,,,,187,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.62,98.2,79,,,,,,,196,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.66,103.9,79,,,,,,,208,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.6,100.4,83.4,,,,,,,201,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.58,98.7,84.4,,,,,,,197,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.68,112,82.4,,,,,,,224,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.64,107.5,84.1,,,,,,,215,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.62,105.3,85.3,,,,,,,211,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.6,103.6,86.3,,,,,,,207,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.61,105.8,87.3,,,,,,,212,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.57,100.5,88.3,,,,,,,201,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.57,102.7,90.2,,,,,,,205,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.61,109.3,90.2,,,,,,,219,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.62,112,90.2,,,,,,,224,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.71,119.9,83.9,,,,,,,240,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.7,122.2,87.3,,,,,,,244,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.68,119.5,88.3,,,,,,,239,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.65,119.1,91.2,,,,,,,238,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.72,127.1,88,,,,,,,254,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.71,130.7,92.2,,,,,,,261,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.74,142.2,96.1,,,,,,,284,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.82,148.8,90.3,,,,,,,298,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.96,163.9,85.2,,,,,,,328,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.9,171,95.2,,,,,,,342,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.77,152.9,99.3,,,,,,,306,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,1.09,203.4,93.3,,,,,,,407,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,1.53,311.7,102.2,,,,,,,623,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,1.27,287,113.1,,,,,,,574,,,Virginia US,Subtropical,,,,Subtropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,1.66,,,4.7,14.3,,,19,,,,31.5,brazil,Tropical,0.8,0.7,de Compos,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.53,,,6.8,25,,,31.8,,,,16.7,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.9,,,8.3,21.5,,,29.8,,,,26.7,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,1.22,,,10.9,23,,,33.9,,,,41.6,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.82,,,21.5,75.8,,,97.3,,,,80.1,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,1.11,,,38.1,89.4,,,127.5,,,,142,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,1.31,,,47.7,75.3,,,123,,,,161,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.66,,,18.3,34.5,,,52.8,,,,34.6,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,1.77,,,10.4,32.6,,,43,,,,76.2,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,1.13,,,23.9,88.9,,,112.8,,,,126.9,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.89,,,1.7,5,,,6.7,,,,5.9,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.96,,,2.3,5,,,7.3,,,,7,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.64,,,13.8,22.1,,,35.9,,,,23,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.39,,,13,14.3,,,27.3,,,,10.7,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.54,,,26.3,18.1,,,44.4,,,,24.1,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.52,,,22.9,26.6,,,49.5,,,,25.9,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.66,,,3.9,7.6,,,11.5,,,,7.6,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.45,,,45,26,,,71,,,,32.3,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.87,,,4,8.8,,,12.8,,,,11.1,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.29,,,20.5,12.3,,,32.8,,,,9.4,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.63,,,6.3,8,,,14.3,,,,8.9,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.91,,,14.5,54,,,68.5,,,,62,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.8,,,33.7,81.7,,,115.4,,,,92.5,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.6,,,116.8,49.8,,,166.6,,,,100,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.55,,,25.6,346.8,,,372.4,,,,205.2,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.73,,,10.3,41.6,,,51.9,,,,38,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.34,,,29.4,16.9,,,46.3,,,,15.9,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.7,,,4.2,4.5,,,8.7,,,,6.1,brazil,Tropical,,,,Tropical
De Campos,2018,Degree of phosphate saturation in highly weathered tropical soils,0.48,,,123.4,74.3,,,197.7,,,,95.5,brazil,Tropical,,,,Tropical
Paulter,2000,"Relationships Between Soil Test Phosphorus, Soluble Phosphorus, and Phosphorus Saturation in Delaware Soils",0.32,,,,,,,19.35,,,,6.12,kent,Temperate,0.39,0.34,Paulter,Temperate
Paulter,2000,"Relationships Between Soil Test Phosphorus, Soluble Phosphorus, and Phosphorus Saturation in Delaware Soils",0.25,,,,,,,32.51,,,,8.19,kent,Temperate,,,,Temperate
Paulter,2000,"Relationships Between Soil Test Phosphorus, Soluble Phosphorus, and Phosphorus Saturation in Delaware Soils",0.33,,,,,,,29.65,,,,9.74,kent,Temperate,,,,Temperate
Paulter,2000,"Relationships Between Soil Test Phosphorus, Soluble Phosphorus, and Phosphorus Saturation in Delaware Soils",0.26,,,,,,,35.81,,,,9.45,kent,Temperate,,,,Temperate
Paulter,2000,"Relationships Between Soil Test Phosphorus, Soluble Phosphorus, and Phosphorus Saturation in Delaware Soils",0.27,,,,,,,35.81,,,,9.73,kent,Temperate,,,,Temperate
Paulter,2000,"Relationships Between Soil Test Phosphorus, Soluble Phosphorus, and Phosphorus Saturation in Delaware Soils",0.23,,,,,,,42.38,,,,9.72,kent,Temperate,,,,Temperate
Paulter,2000,"Relationships Between Soil Test Phosphorus, Soluble Phosphorus, and Phosphorus Saturation in Delaware Soils",0.25,,,,,,,42.39,,,,10.56,kent,Temperate,,,,Temperate
Paulter,2000,"Relationships Between Soil Test Phosphorus, Soluble Phosphorus, and Phosphorus Saturation in Delaware Soils",0.31,,,,,,,67.93,,,,20.85,kent,Temperate,,,,Temperate
